127.0.0.1, 2015-12-02 14:24:17, GET, /GroupOrder/static/css/calendar.css, HTTP/1.1, 304, 0.002770
127.0.0.1, 2015-12-02 14:24:17, GET, /GroupOrder/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000696
127.0.0.1, 2015-12-02 14:24:17, GET, /GroupOrder/static/css/myapp.css, HTTP/1.1, 304, 0.000389
127.0.0.1, 2015-12-02 14:24:17, GET, /GroupOrder/static/js/jquery.js, HTTP/1.1, 304, 0.000897
127.0.0.1, 2015-12-02 14:24:17, GET, /GroupOrder/static/js/calendar.js, HTTP/1.1, 304, 0.001396
127.0.0.1, 2015-12-02 14:24:17, GET, /GroupOrder/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000781
127.0.0.1, 2015-12-02 14:24:17, GET, /GroupOrder/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000831
127.0.0.1, 2015-12-02 14:24:17, GET, /GroupOrder/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 304, 0.002289
127.0.0.1, 2015-12-02 14:24:17, GET, /GroupOrder/static/js/share.js, HTTP/1.1, 304, 0.001796
127.0.0.1, 2015-12-02 14:24:17, GET, /GroupOrder/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.003303
127.0.0.1, 2015-12-02 14:24:17, GET, /GroupOrder/static/js/web2py.js, HTTP/1.1, 304, 0.000544
127.0.0.1, 2015-12-02 14:24:17, GET, /GroupOrder/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000456
127.0.0.1, 2015-12-02 14:24:17, GET, /GroupOrder/static/images/twitter.png, HTTP/1.1, 304, 0.000809
127.0.0.1, 2015-12-02 14:24:17, GET, /GroupOrder/static/images/facebook.png, HTTP/1.1, 304, 0.000726
127.0.0.1, 2015-12-02 14:24:17, GET, /GroupOrder/static/images/gplus-32.png, HTTP/1.1, 304, 0.000883
127.0.0.1, 2015-12-02 14:24:17, GET, /GroupOrder/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 304, 0.001429
